iter	Passed	Remaining
0	1	134
1	2	127
2	3	122
3	4	113
4	5	111
5	6	108
6	8	108
7	9	106
8	10	105
9	11	103
10	12	102
11	13	101
12	14	100
13	16	98
14	17	97
15	18	96
16	19	94
17	20	93
18	21	92
19	22	91
20	23	89
21	24	88
22	26	87
23	27	86
24	28	85
25	29	83
26	30	83
27	31	82
28	33	81
29	34	79
30	35	78
31	36	77
32	37	76
33	38	75
34	39	73
35	40	72
36	42	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	54	57
49	55	55
50	57	54
51	58	54
52	59	52
53	60	51
54	61	50
55	62	49
56	63	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	73	39
65	74	38
66	75	37
67	76	36
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	83	29
74	84	28
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	92	20
82	93	19
83	94	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	101	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	110	2
98	111	1
99	112	0
